prompt_id,strategy,phase,literature_basis,text
P-D-01,perspective_shift,divergence,Hoever et al. 2012,Try to take [target]'s perspective as much as possible: what might [target] be noticing that we have not considered yet?
P-D-02,perspective_shift,divergence,Hoever et al. 2012,View the situation from [target]'s position: what new idea becomes visible from there?
P-D-03,perspective_shift,divergence,Hoever et al. 2012,Try to understand how [target] views this situation: what concern or opportunity might shape [target]'s view?
P-D-04,perspective_shift,divergence,Hoever et al. 2012,Ask what is important to [target] then suggest one idea that could respond to that priority.
P-C-01,perspective_shift,convergence,Hoever et al. 2012,As you narrow the options try to take [target]'s perspective: which option would still make sense from [target]'s point of view?
P-C-02,perspective_shift,convergence,Hoever et al. 2012,View the leading option from [target]'s position: what would [target] see as its main strength or weakness?
P-C-03,perspective_shift,convergence,Hoever et al. 2012,Try to understand how [target] views this choice: what concern should be discussed before deciding?
P-C-04,perspective_shift,convergence,Hoever et al. 2012,Ask what is important to [target] then adjust the option so it better integrates that priority.
P-D-05,generative,divergence,Chin 2007,What else?
P-D-06,generative,divergence,Chin 2007,How is [target] going to solve the problem?
P-D-07,generative,divergence,Chin 2007,In order to find [goal], what must we do?
P-D-08,generative,divergence,Chin 2007,What do you need to do next?
P-C-05,generative,convergence,Chin 2007,How do we find [output]?
P-C-06,generative,convergence,Chin 2007,With these [values], how do we find [result]?
P-C-07,generative,convergence,Chin 2007,What do we do next?
P-C-08,generative,convergence,Chin 2007,How do you find [X]?
P-D-09,elaboration_evidence,divergence,Chin 2007,What is the difference between [A] and [B]?
P-D-10,elaboration_evidence,divergence,Chin 2007,Where does [X] come into the calculation?
P-D-11,elaboration_evidence,divergence,Chin 2007,Was it necessary for you to [step]?
P-D-12,elaboration_evidence,divergence,Chin 2007,Could you have done with fewer steps?
P-C-09,elaboration_evidence,convergence,Chin 2007,Can you modify it in such a way that you do not need to do unnecessary steps?
P-C-10,elaboration_evidence,convergence,Chin 2007,What do you think are some of the problems and how do you think you can overcome it?
P-C-11,elaboration_evidence,convergence,Chin 2007,How would that affect the accuracy?
P-C-12,elaboration_evidence,convergence,Chin 2007,How would you avoid [problem]?
