condition,conversation_id,mercer_label,count,percentage_of_coded,coded_utterance_count,unlabelled_utterance_count
Proactive_Supportive,group13_CONVO,disputational,3,15.0,20,21
Proactive_Supportive,group13_CONVO,cumulative,2,10.0,20,21
Proactive_Supportive,group13_CONVO,exploratory,15,75.0,20,21
Proactive_Supportive,group14_CONVO,disputational,6,31.58,19,37
Proactive_Supportive,group14_CONVO,cumulative,3,15.79,19,37
Proactive_Supportive,group14_CONVO,exploratory,10,52.63,19,37
Proactive_Supportive,group15_CONVO,disputational,4,17.39,23,38
Proactive_Supportive,group15_CONVO,cumulative,3,13.04,23,38
Proactive_Supportive,group15_CONVO,exploratory,16,69.57,23,38
Proactive_Supportive,group16_CONVO,disputational,5,21.74,23,37
Proactive_Supportive,group16_CONVO,cumulative,3,13.04,23,37
Proactive_Supportive,group16_CONVO,exploratory,15,65.22,23,37
Proactive_Supportive,group17_CONVO,disputational,6,13.64,44,80
Proactive_Supportive,group17_CONVO,cumulative,14,31.82,44,80
Proactive_Supportive,group17_CONVO,exploratory,24,54.55,44,80
Proactive_Supportive,group18_CONVO,disputational,3,15.0,20,65
Proactive_Supportive,group18_CONVO,cumulative,9,45.0,20,65
Proactive_Supportive,group18_CONVO,exploratory,8,40.0,20,65
Proactive_Supportive,group19_CONVO_SUNNY,disputational,5,15.15,33,56
Proactive_Supportive,group19_CONVO_SUNNY,cumulative,7,21.21,33,56
Proactive_Supportive,group19_CONVO_SUNNY,exploratory,21,63.64,33,56
Proactive_Supportive,group20_CONVO,disputational,8,21.62,37,40
Proactive_Supportive,group20_CONVO,cumulative,8,21.62,37,40
Proactive_Supportive,group20_CONVO,exploratory,21,56.76,37,40
Proactive_Supportive,group21_CONVO,disputational,2,14.29,14,28
Proactive_Supportive,group21_CONVO,cumulative,5,35.71,14,28
Proactive_Supportive,group21_CONVO,exploratory,7,50.0,14,28
Proactive_Supportive,group22_CONVO,disputational,6,11.76,51,84
Proactive_Supportive,group22_CONVO,cumulative,9,17.65,51,84
Proactive_Supportive,group22_CONVO,exploratory,36,70.59,51,84
