speaker,mercer_label,count,percentage_of_coded,coded_utterance_count,unlabelled_utterance_count
PARTICIPANT_1,disputational,2,22.22,9,20
PARTICIPANT_1,cumulative,1,11.11,9,20
PARTICIPANT_1,exploratory,6,66.67,9,20
PARTICIPANT_10,disputational,10,37.04,27,21
PARTICIPANT_10,cumulative,6,22.22,27,21
PARTICIPANT_10,exploratory,11,40.74,27,21
PARTICIPANT_11,disputational,2,18.18,11,22
PARTICIPANT_11,cumulative,3,27.27,11,22
PARTICIPANT_11,exploratory,6,54.55,11,22
PARTICIPANT_12,disputational,5,19.23,26,29
PARTICIPANT_12,cumulative,6,23.08,26,29
PARTICIPANT_12,exploratory,15,57.69,26,29
PARTICIPANT_17,disputational,4,26.67,15,33
PARTICIPANT_17,cumulative,5,33.33,15,33
PARTICIPANT_17,exploratory,6,40.0,15,33
PARTICIPANT_18,disputational,5,22.73,22,59
PARTICIPANT_18,cumulative,10,45.45,22,59
PARTICIPANT_18,exploratory,7,31.82,22,59
PARTICIPANT_19,disputational,1,10.0,10,13
PARTICIPANT_19,cumulative,4,40.0,10,13
PARTICIPANT_19,exploratory,5,50.0,10,13
PARTICIPANT_2,disputational,3,27.27,11,22
PARTICIPANT_2,cumulative,2,18.18,11,22
PARTICIPANT_2,exploratory,6,54.55,11,22
PARTICIPANT_20,disputational,2,11.11,18,33
PARTICIPANT_20,cumulative,5,27.78,18,33
PARTICIPANT_20,exploratory,11,61.11,18,33
PARTICIPANT_21,disputational,4,17.39,23,30
PARTICIPANT_21,cumulative,4,17.39,23,30
PARTICIPANT_21,exploratory,15,65.22,23,30
PARTICIPANT_22,disputational,2,28.57,7,20
PARTICIPANT_22,cumulative,1,14.29,7,20
PARTICIPANT_22,exploratory,4,57.14,7,20
PARTICIPANT_23,disputational,0,0.0,10,24
PARTICIPANT_23,cumulative,2,20.0,10,24
PARTICIPANT_23,exploratory,8,80.0,10,24
PARTICIPANT_24,disputational,0,0.0,1,4
PARTICIPANT_24,cumulative,0,0.0,1,4
PARTICIPANT_24,exploratory,1,100.0,1,4
PARTICIPANT_3,disputational,1,5.0,20,44
PARTICIPANT_3,cumulative,2,10.0,20,44
PARTICIPANT_3,exploratory,17,85.0,20,44
PARTICIPANT_4,disputational,6,22.22,27,20
PARTICIPANT_4,cumulative,2,7.41,27,20
PARTICIPANT_4,exploratory,19,70.37,27,20
PARTICIPANT_5,disputational,1,20.0,5,27
PARTICIPANT_5,cumulative,0,0.0,5,27
PARTICIPANT_5,exploratory,4,80.0,5,27
PARTICIPANT_6,disputational,1,20.0,5,13
PARTICIPANT_6,cumulative,1,20.0,5,13
PARTICIPANT_6,exploratory,3,60.0,5,13
PARTICIPANT_7,disputational,6,23.08,26,25
PARTICIPANT_7,cumulative,6,23.08,26,25
PARTICIPANT_7,exploratory,14,53.85,26,25
PARTICIPANT_8,disputational,1,11.11,9,25
PARTICIPANT_8,cumulative,2,22.22,9,25
PARTICIPANT_8,exploratory,6,66.67,9,25
PARTICIPANT_9,disputational,6,17.65,34,43
PARTICIPANT_9,cumulative,8,23.53,34,43
PARTICIPANT_9,exploratory,20,58.82,34,43
