condition,conversation,speaker,word_count,turn_count
Proactive_Assertive,group10_CONVO_STEFAN,PARTICIPANT_19,250,23
Proactive_Assertive,group10_CONVO_STEFAN,PARTICIPANT_20,610,51
Proactive_Assertive,group11_CONVO_HONOURS,PARTICIPANT_21,597,53
Proactive_Assertive,group11_CONVO_HONOURS,PARTICIPANT_22,346,27
Proactive_Assertive,group12_CONVO,PARTICIPANT_23,451,34
Proactive_Assertive,group12_CONVO,PARTICIPANT_24,57,5
Proactive_Assertive,group1_CONVO,PARTICIPANT_1,248,29
Proactive_Assertive,group1_CONVO,PARTICIPANT_2,275,33
Proactive_Assertive,group2_CONVO,PARTICIPANT_3,1055,64
Proactive_Assertive,group2_CONVO,PARTICIPANT_4,753,47
Proactive_Assertive,group3_CONVO,PARTICIPANT_5,296,32
Proactive_Assertive,group3_CONVO,PARTICIPANT_6,169,18
Proactive_Assertive,group4_CONVO_LUCHO,PARTICIPANT_7,503,51
Proactive_Assertive,group4_CONVO_LUCHO,PARTICIPANT_8,303,34
Proactive_Assertive,group5_CONVO,PARTICIPANT_10,460,48
Proactive_Assertive,group5_CONVO,PARTICIPANT_9,1037,77
Proactive_Assertive,group6_CONVO,PARTICIPANT_11,424,33
Proactive_Assertive,group6_CONVO,PARTICIPANT_12,682,55
Proactive_Assertive,group9_CONVO,PARTICIPANT_17,366,48
Proactive_Assertive,group9_CONVO,PARTICIPANT_18,438,81
