prompt_id,strategy,phase,literature_basis,text
P-D-01,perspective_shift,divergence,Galinsky & Moskowitz 2000,Imagine a day in the life of [target] as if you were that person, looking at the world through [their] eyes and walking through the world in [their] shoes.
P-D-02,perspective_shift,divergence,Davis et al. 1996,Imagine how [target] feels.
P-D-03,perspective_shift,divergence,Davis et al. 1996,Try to take [target]'s perspective.
P-D-04,perspective_shift,divergence,Batson et al. 1997 / 2003,Imagine how [target] is feeling in that situation.
P-C-01,perspective_shift,convergence,Batson et al. 1997 / 2003,Imagine how you would feel in [target]'s situation.
P-C-02,perspective_shift,convergence,Davis et al. 1996,Try to take [target]'s perspective.
P-C-03,perspective_shift,convergence,Batson et al. 1997 / 2003,Imagine how [target] is feeling in that situation.
P-C-04,perspective_shift,convergence,Arriaga & Rusbult 1998,Visualize the incident from [target]'s point of view, and ask yourself why does [target] feel this way?
P-D-05,generative,divergence,Chin 2007,What else?
P-D-06,generative,divergence,Chin 2007,How is [target] going to solve the problem?
P-D-07,generative,divergence,Chin 2007,In order to find [goal], what must we do?
P-D-08,generative,divergence,Chin 2007,What do you need to do next?
P-C-05,generative,convergence,Chin 2007,How do we find [output]?
P-C-06,generative,convergence,Chin 2007,With these [values], how do we find [result]?
P-C-07,generative,convergence,Chin 2007,What do we do next?
P-C-08,generative,convergence,Chin 2007,How do you find [X]?
P-D-09,elaboration_evidence,divergence,Chin 2007,What is the difference between [A] and [B]?
P-D-10,elaboration_evidence,divergence,Chin 2007,Where does [X] come into the calculation?
P-D-11,elaboration_evidence,divergence,Chin 2007,Was it necessary for you to [step]?
P-D-12,elaboration_evidence,divergence,Chin 2007,Could you have done with fewer steps?
P-C-09,elaboration_evidence,convergence,Chin 2007,Can you modify it in such a way that you do not need to do unnecessary steps?
P-C-10,elaboration_evidence,convergence,Chin 2007,What do you think are some of the problems and how do you think you can overcome it?
P-C-11,elaboration_evidence,convergence,Chin 2007,How would that affect the accuracy?
P-C-12,elaboration_evidence,convergence,Chin 2007,How would you avoid [problem]?
