condition,conversation,speaker,word_count,turn_count
Proactive_Supportive,group13_CONVO,PARTICIPANT_25,193,18
Proactive_Supportive,group13_CONVO,PARTICIPANT_26,224,23
Proactive_Supportive,group14_CONVO,PARTICIPANT_27,255,30
Proactive_Supportive,group14_CONVO,PARTICIPANT_28,373,26
Proactive_Supportive,group15_CONVO,PARTICIPANT_29,289,27
Proactive_Supportive,group15_CONVO,PARTICIPANT_30,387,34
Proactive_Supportive,group16_CONVO,PARTICIPANT_31,524,41
Proactive_Supportive,group16_CONVO,PARTICIPANT_32,170,19
Proactive_Supportive,group17_CONVO,PARTICIPANT_33,665,71
Proactive_Supportive,group17_CONVO,PARTICIPANT_34,388,53
Proactive_Supportive,group18_CONVO,PARTICIPANT_35,565,66
Proactive_Supportive,group18_CONVO,PARTICIPANT_36,176,19
Proactive_Supportive,group19_CONVO_SUNNY,PARTICIPANT_37,437,43
Proactive_Supportive,group19_CONVO_SUNNY,PARTICIPANT_38,661,46
Proactive_Supportive,group20_CONVO,PARTICIPANT_39,530,45
Proactive_Supportive,group20_CONVO,PARTICIPANT_40,370,32
Proactive_Supportive,group21_CONVO,PARTICIPANT_41,248,18
Proactive_Supportive,group21_CONVO,PARTICIPANT_42,309,24
Proactive_Supportive,group22_CONVO,PARTICIPANT_43,771,68
Proactive_Supportive,group22_CONVO,PARTICIPANT_44,808,67
