session_id,group_id,condition,source_file,conversation_id,sequence_index,timestamp,speaker,phase,robot_turn_index,triggered_robot,text,mercer_label,is_coded,label_confidence,label_rationale
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,1,,PARTICIPANT_20,,,,"Hey man, have you seen the new prices on the campus, in the campus cafeteria?",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,2,,PARTICIPANT_19,,,,No,,no,0.00,no explicit Mercer talk type
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,3,,PARTICIPANT_20,,,,"They're like awful, like they're really expensive.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,4,,PARTICIPANT_20,,,,Do you have any idea how we can resolve this?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,5,,PARTICIPANT_19,,,,No.,,no,0.00,no explicit Mercer talk type
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,6,,PARTICIPANT_19,,,,"Pepper, do you have any idea about what can be done about the expensive prices at the cafeteria?",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,10,,PARTICIPANT_20,,,,That would be a great idea.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,11,,PARTICIPANT_20,,,,My problem is that I think it's not that possible to do that.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,12,,PARTICIPANT_20,,,,I think it would be a lot harder than making the prices smaller.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,13,,PARTICIPANT_20,,,,But I mean also the problem is that there is no meat in most cafeterias around the cafeteria.,exploratory,yes,0.80,opens with a counter-position but provides reasoning or a constructive alternative
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,14,,PARTICIPANT_20,,,,"Pepper, do you think that's a big problem?",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,15,,PARTICIPANT_20,,,,Do you think we can get also some international vegetarian choices in the cafeteria?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Assertive,group10_CONVO_STEFAN.txt,group10_CONVO_STEFAN,18,,PARTICIPANT_20,,,,"That's a great idea, people.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
