session_id,group_id,condition,source_file,conversation_id,sequence_index,timestamp,speaker,phase,robot_turn_index,triggered_robot,text,mercer_label,is_coded,label_confidence,label_rationale
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,1,,PARTICIPANT_26,,,,We don't like the food we have here.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,2,,PARTICIPANT_26,,,,What do you think we can do?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,7,,PARTICIPANT_25,,,,"So do you think it is related to food in the campus, Pepper?",exploratory,yes,0.69,"adds reasons, consequences, examples, or a proposed refinement"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,11,,PARTICIPANT_25,,,,"But, I don't like the cafe in this school. I think it just provides all kinds of things I don't like, Pepper.",disputational,yes,0.76,opens with a counter-position that is not yet integrated into a shared proposal
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,15,,PARTICIPANT_26,,,,"So you know that in the Netherlands,",exploratory,yes,0.83,uses reasoning and builds on the previous contribution to develop a shared idea
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,16,,PARTICIPANT_26,,,,The minimum wage is quite high.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,17,,PARTICIPANT_26,,,,"If we want good food, we need proper people to be cooking the food.",exploratory,yes,0.83,uses reasoning and builds on the previous contribution to develop a shared idea
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,18,,PARTICIPANT_26,,,,"Then it might be quite expensive, right?",exploratory,yes,0.83,uses reasoning and builds on the previous contribution to develop a shared idea
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,19,,PARTICIPANT_26,,,,"What do you think we can do to still have those foods, yet not making the price too high?",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,20,,PARTICIPANT_26,,,,Pepper?,,no,0.00,no explicit Mercer talk type
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,21,,PARTICIPANT_26,,,,Hello?,,no,0.00,no explicit Mercer talk type
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,25,,PARTICIPANT_26,,,,"If it's that easy, why are they not doing that already with bread, Pepper?",exploratory,yes,0.69,"adds reasons, consequences, examples, or a proposed refinement"
