speaker,mercer_label,count,percentage_of_coded,coded_utterance_count,unlabelled_utterance_count
PARTICIPANT_25,disputational,3,25.0,12,6
PARTICIPANT_25,cumulative,2,16.67,12,6
PARTICIPANT_25,exploratory,7,58.33,12,6
PARTICIPANT_26,disputational,0,0.0,8,15
PARTICIPANT_26,cumulative,0,0.0,8,15
PARTICIPANT_26,exploratory,8,100.0,8,15
PARTICIPANT_27,disputational,2,25.0,8,22
PARTICIPANT_27,cumulative,2,25.0,8,22
PARTICIPANT_27,exploratory,4,50.0,8,22
PARTICIPANT_28,disputational,4,36.36,11,15
PARTICIPANT_28,cumulative,1,9.09,11,15
PARTICIPANT_28,exploratory,6,54.55,11,15
PARTICIPANT_29,disputational,2,18.18,11,16
PARTICIPANT_29,cumulative,1,9.09,11,16
PARTICIPANT_29,exploratory,8,72.73,11,16
PARTICIPANT_30,disputational,2,16.67,12,22
PARTICIPANT_30,cumulative,2,16.67,12,22
PARTICIPANT_30,exploratory,8,66.67,12,22
PARTICIPANT_31,disputational,5,26.32,19,22
PARTICIPANT_31,cumulative,2,10.53,19,22
PARTICIPANT_31,exploratory,12,63.16,19,22
PARTICIPANT_32,disputational,0,0.0,4,15
PARTICIPANT_32,cumulative,1,25.0,4,15
PARTICIPANT_32,exploratory,3,75.0,4,15
PARTICIPANT_33,disputational,4,16.0,25,46
PARTICIPANT_33,cumulative,7,28.0,25,46
PARTICIPANT_33,exploratory,14,56.0,25,46
PARTICIPANT_34,disputational,2,10.53,19,34
PARTICIPANT_34,cumulative,7,36.84,19,34
PARTICIPANT_34,exploratory,10,52.63,19,34
PARTICIPANT_35,disputational,2,12.5,16,50
PARTICIPANT_35,cumulative,7,43.75,16,50
PARTICIPANT_35,exploratory,7,43.75,16,50
PARTICIPANT_36,disputational,1,25.0,4,15
PARTICIPANT_36,cumulative,2,50.0,4,15
PARTICIPANT_36,exploratory,1,25.0,4,15
PARTICIPANT_37,disputational,1,6.67,15,28
PARTICIPANT_37,cumulative,4,26.67,15,28
PARTICIPANT_37,exploratory,10,66.67,15,28
PARTICIPANT_38,disputational,4,22.22,18,28
PARTICIPANT_38,cumulative,3,16.67,18,28
PARTICIPANT_38,exploratory,11,61.11,18,28
PARTICIPANT_39,disputational,6,30.0,20,25
PARTICIPANT_39,cumulative,3,15.0,20,25
PARTICIPANT_39,exploratory,11,55.0,20,25
PARTICIPANT_40,disputational,2,11.76,17,15
PARTICIPANT_40,cumulative,5,29.41,17,15
PARTICIPANT_40,exploratory,10,58.82,17,15
PARTICIPANT_41,disputational,1,16.67,6,12
PARTICIPANT_41,cumulative,2,33.33,6,12
PARTICIPANT_41,exploratory,3,50.0,6,12
PARTICIPANT_42,disputational,1,12.5,8,16
PARTICIPANT_42,cumulative,3,37.5,8,16
PARTICIPANT_42,exploratory,4,50.0,8,16
PARTICIPANT_43,disputational,2,7.41,27,41
PARTICIPANT_43,cumulative,6,22.22,27,41
PARTICIPANT_43,exploratory,19,70.37,27,41
PARTICIPANT_44,disputational,4,16.67,24,43
PARTICIPANT_44,cumulative,3,12.5,24,43
PARTICIPANT_44,exploratory,17,70.83,24,43
