condition,conversation_id,mercer_label,count,percentage_of_coded,coded_utterance_count,unlabelled_utterance_count
Proactive_Assertive,group10_CONVO_STEFAN,disputational,3,10.71,28,46
Proactive_Assertive,group10_CONVO_STEFAN,cumulative,9,32.14,28,46
Proactive_Assertive,group10_CONVO_STEFAN,exploratory,16,57.14,28,46
Proactive_Assertive,group11_CONVO_HONOURS,disputational,6,20.0,30,50
Proactive_Assertive,group11_CONVO_HONOURS,cumulative,5,16.67,30,50
Proactive_Assertive,group11_CONVO_HONOURS,exploratory,19,63.33,30,50
Proactive_Assertive,group12_CONVO,disputational,0,0.0,11,28
Proactive_Assertive,group12_CONVO,cumulative,2,18.18,11,28
Proactive_Assertive,group12_CONVO,exploratory,9,81.82,11,28
Proactive_Assertive,group1_CONVO,disputational,5,25.0,20,42
Proactive_Assertive,group1_CONVO,cumulative,3,15.0,20,42
Proactive_Assertive,group1_CONVO,exploratory,12,60.0,20,42
Proactive_Assertive,group2_CONVO,disputational,7,14.89,47,64
Proactive_Assertive,group2_CONVO,cumulative,4,8.51,47,64
Proactive_Assertive,group2_CONVO,exploratory,36,76.6,47,64
Proactive_Assertive,group3_CONVO,disputational,2,20.0,10,40
Proactive_Assertive,group3_CONVO,cumulative,1,10.0,10,40
Proactive_Assertive,group3_CONVO,exploratory,7,70.0,10,40
Proactive_Assertive,group4_CONVO_LUCHO,disputational,7,20.0,35,50
Proactive_Assertive,group4_CONVO_LUCHO,cumulative,8,22.86,35,50
Proactive_Assertive,group4_CONVO_LUCHO,exploratory,20,57.14,35,50
Proactive_Assertive,group5_CONVO,disputational,16,26.23,61,64
Proactive_Assertive,group5_CONVO,cumulative,14,22.95,61,64
Proactive_Assertive,group5_CONVO,exploratory,31,50.82,61,64
Proactive_Assertive,group6_CONVO,disputational,7,18.92,37,51
Proactive_Assertive,group6_CONVO,cumulative,9,24.32,37,51
Proactive_Assertive,group6_CONVO,exploratory,21,56.76,37,51
Proactive_Assertive,group9_CONVO,disputational,9,24.32,37,92
Proactive_Assertive,group9_CONVO,cumulative,15,40.54,37,92
Proactive_Assertive,group9_CONVO,exploratory,13,35.14,37,92
