session_id,group_id,conversation_id,sequence_index,timestamp,speaker,phase,robot_turn_index,triggered_robot,text,mercer_label,is_coded,label_confidence,label_rationale
,,MVI_0074,1,,PARTICIPANT_5,,,,"Well, Pepper, what do you think is the most important for a student well-being on campus?",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0074,3,,PARTICIPANT_6,,,,OK.,,no,0.00,no explicit Mercer talk type
,,MVI_0074,4,,PARTICIPANT_5,,,,Peer support groups.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,5,,PARTICIPANT_5,,,,What kinds of peer support groups?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,6,,PARTICIPANT_5,,,,"Pepper, what kinds of peer support groups do we need to create?",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,9,,PARTICIPANT_5,,,,"Moon-hyuk, you're a club leader.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,10,,PARTICIPANT_5,,,,What are your thoughts on what's most important for students and their well-being?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,11,,PARTICIPANT_6,,,,The students' well-being?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,12,,PARTICIPANT_6,,,,I think the most important thing is the environment provided by campus or universities.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,13,,PARTICIPANT_5,,,,Do you ever notice troubles with students participating socially?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,14,,PARTICIPANT_6,,,,"I mean, of course, the troubles usually happen by the individual person.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,15,,PARTICIPANT_6,,,,"But what I mean is that broadly, if the tutor or campus, university doesn't provide a good environment to gather together, otherwise, I think students individually are not have a chance to gather inside.",exploratory,yes,0.80,opens with a counter-position but provides reasoning or a constructive alternative
,,MVI_0074,16,,PARTICIPANT_6,,,,That's what I mean.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,17,,PARTICIPANT_5,,,,"Ah, I see.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,18,,PARTICIPANT_5,,,,It's important to create environments that enable social gathering.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,19,,PARTICIPANT_6,,,,Yes.,cumulative,yes,0.88,short agreement or confirmation without added reasoning
,,MVI_0074,20,,PARTICIPANT_5,,,,"Pepper, how can we create an environment where students are able to gather socially?",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,21,,PARTICIPANT_5,,,,How do we enable it?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,24,,PARTICIPANT_5,,,,What would make spaces more inclusive for students?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,25,,PARTICIPANT_5,,,,"Pepper, what would make spaces more inclusive for students?",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,29,,PARTICIPANT_6,,,,but I think there is a lack of information how to enjoy them.,disputational,yes,0.76,opens with a counter-position that is not yet integrated into a shared proposal
,,MVI_0074,30,,PARTICIPANT_6,,,,"So Pepper, do you have any idea how to improve the advertisement?",exploratory,yes,0.69,"adds reasons, consequences, examples, or a proposed refinement"
,,MVI_0074,31,,PARTICIPANT_6,,,,How?,,no,0.00,no explicit Mercer talk type
,,MVI_0074,33,,PARTICIPANT_6,,,,Thank you.,,no,0.00,no explicit Mercer talk type
,,MVI_0074,34,,PARTICIPANT_6,,,,Maybe let's go to the other topics.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,35,,PARTICIPANT_6,,,,"Pepper, do you know how to provide proof and service?",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0074,39,,PARTICIPANT_5,,,,"Yes, we should.",exploratory,yes,0.76,"begins from agreement but adds explanation, implications, or a development of the shared idea"
,,MVI_0074,42,,PARTICIPANT_5,,,,"Pepper, we want to make sure that the spaces we create also allow for food diversity for students with different cultural backgrounds.",exploratory,yes,0.86,challenges or qualifies an idea while giving reasons or proposing a constructive refinement
,,MVI_0074,43,,PARTICIPANT_5,,,,How can we do that?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,46,,PARTICIPANT_5,,,,"Pepper, that sounds really awesome, but that is only for specific events.",disputational,yes,0.74,"states disagreement, resistance, or a competing position without developing a shared alternative"
,,MVI_0074,47,,PARTICIPANT_5,,,,What about the entire year?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,48,,PARTICIPANT_5,,,,How do we make sure students always have access to their cultural foods?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,52,,PARTICIPANT_5,,,,OK.,,no,0.00,no explicit Mercer talk type
,,MVI_0074,56,,PARTICIPANT_5,,,,"I think that's a great idea, Pepper.",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,MVI_0074,57,,PARTICIPANT_5,,,,Shall we start planning the event?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,61,,PARTICIPANT_5,,,,How do the meditation sessions contribute?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,65,,PARTICIPANT_5,,,,This seems like a great way.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,69,,PARTICIPANT_5,,,,What contributes most to student stress?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,70,,PARTICIPANT_5,,,,What makes you feel stressed?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,73,,PARTICIPANT_5,,,,"What are the main stresses that we should target, Pepper?",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,75,,PARTICIPANT_5,,,,What sort of event participation rewards effort?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,78,,PARTICIPANT_5,,,,"Lynn Health, would you want to use the discounts that are provided by attending these events?",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,79,,PARTICIPANT_5,,,,"If we receive discounts for attending these events, would you also want to use them?",exploratory,yes,0.83,uses reasoning and builds on the previous contribution to develop a shared idea
,,MVI_0074,80,,PARTICIPANT_5,,,,Is it something that you think you would include in your life or participate in?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,81,,PARTICIPANT_6,,,,I think discount is not really a merit for me.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,82,,PARTICIPANT_6,,,,I think the most important thing is the content should be my interest.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,83,,PARTICIPANT_6,,,,"Otherwise, even though there is a big discount, I won't attend any events.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,MVI_0074,84,,PARTICIPANT_6,,,,"But if some event is really helpful, then I'd pay without any discount.",exploratory,yes,0.80,opens with a counter-position but provides reasoning or a constructive alternative
,,MVI_0074,85,,PARTICIPANT_5,,,,"So then, Pepper, how can we make sure that the events attract student interests, especially when everyone has such different interests?",exploratory,yes,0.86,challenges or qualifies an idea while giving reasons or proposing a constructive refinement
,,MVI_0074,92,,PARTICIPANT_6,,,,"OK, thank you very much.",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
