session_id,group_id,condition,source_file,conversation_id,sequence_index,timestamp,speaker,phase,robot_turn_index,triggered_robot,text,mercer_label,is_coded,label_confidence,label_rationale
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,1,,PARTICIPANT_26,,,,We don't like the food we have here.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,2,,PARTICIPANT_26,,,,What do you think we can do?,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,16,,PARTICIPANT_26,,,,The minimum wage is quite high.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,19,,PARTICIPANT_26,,,,"What do you think we can do to still have those foods, yet not making the price too high?",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,20,,PARTICIPANT_26,,,,Pepper?,,no,0.00,no explicit Mercer talk type
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,21,,PARTICIPANT_26,,,,Hello?,,no,0.00,no explicit Mercer talk type
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,28,,PARTICIPANT_26,,,,"OK, thank you, Pepper.",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,29,,PARTICIPANT_26,,,,Bye bye.,,no,0.00,no explicit Mercer talk type
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,35,,PARTICIPANT_26,,,,"You done, bro?",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,36,,PARTICIPANT_26,,,,Ever?,,no,0.00,no explicit Mercer talk type
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,56,,PARTICIPANT_26,,,,"Do we just abort the mission, Pepper?",,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,61,,PARTICIPANT_25,,,,"I think the cafe, the size is small.",,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,62,,PARTICIPANT_25,,,,It cannot contain all kinds of cultures.,,no,0.00,"no explicit disputational, cumulative, or exploratory talk marker"
,,Proactive_Supportive,group13_CONVO.txt,group13_CONVO,63,,PARTICIPANT_25,,,,What do you think?,,no,0.00,"task management, robot address, or social talk without explicit Mercer talk type"
