group_id,theme_id,phase,order_slot_1,order_slot_2,order_slot_3
G01,T1,divergence,perspective_shift,generative,elaboration_evidence
G01,T1,convergence,generative,elaboration_evidence,perspective_shift
G02,T1,divergence,generative,elaboration_evidence,perspective_shift
G02,T1,convergence,elaboration_evidence,perspective_shift,generative
G03,T1,divergence,elaboration_evidence,perspective_shift,generative
G03,T1,convergence,perspective_shift,generative,elaboration_evidence
G04,T1,divergence,perspective_shift,elaboration_evidence,generative
G04,T1,convergence,elaboration_evidence,generative,perspective_shift
G05,T1,divergence,generative,perspective_shift,elaboration_evidence
G05,T1,convergence,perspective_shift,elaboration_evidence,generative
G06,T1,divergence,elaboration_evidence,generative,perspective_shift
G06,T1,convergence,generative,perspective_shift,elaboration_evidence
G07,T1,divergence,perspective_shift,generative,elaboration_evidence
G07,T1,convergence,elaboration_evidence,perspective_shift,generative
G08,T1,divergence,generative,elaboration_evidence,perspective_shift
G08,T1,convergence,perspective_shift,generative,elaboration_evidence
G09,T1,divergence,elaboration_evidence,perspective_shift,generative
G09,T1,convergence,generative,elaboration_evidence,perspective_shift
G10,T1,divergence,perspective_shift,elaboration_evidence,generative
G10,T1,convergence,generative,perspective_shift,elaboration_evidence
G11,T1,divergence,perspective_shift,generative,elaboration_evidence
G11,T1,convergence,generative,elaboration_evidence,perspective_shift
G12,T1,divergence,generative,elaboration_evidence,perspective_shift
G12,T1,convergence,elaboration_evidence,perspective_shift,generative
G13,T1,divergence,elaboration_evidence,perspective_shift,generative
G13,T1,convergence,perspective_shift,generative,elaboration_evidence
G14,T1,divergence,perspective_shift,elaboration_evidence,generative
G14,T1,convergence,elaboration_evidence,generative,perspective_shift
G15,T1,divergence,generative,perspective_shift,elaboration_evidence
G15,T1,convergence,perspective_shift,elaboration_evidence,generative
G16,T1,divergence,elaboration_evidence,generative,perspective_shift
G16,T1,convergence,generative,perspective_shift,elaboration_evidence
G17,T1,divergence,perspective_shift,generative,elaboration_evidence
G17,T1,convergence,elaboration_evidence,perspective_shift,generative
G18,T1,divergence,generative,elaboration_evidence,perspective_shift
G18,T1,convergence,perspective_shift,generative,elaboration_evidence
G19,T1,divergence,elaboration_evidence,perspective_shift,generative
G19,T1,convergence,generative,elaboration_evidence,perspective_shift
G20,T1,divergence,perspective_shift,elaboration_evidence,generative
G20,T1,convergence,generative,perspective_shift,elaboration_evidence
G21,T1,divergence,perspective_shift,generative,elaboration_evidence
G21,T1,convergence,generative,elaboration_evidence,perspective_shift
G22,T1,divergence,generative,elaboration_evidence,perspective_shift
G22,T1,convergence,elaboration_evidence,perspective_shift,generative
G23,T1,divergence,elaboration_evidence,perspective_shift,generative
G23,T1,convergence,perspective_shift,generative,elaboration_evidence
G24,T1,divergence,perspective_shift,elaboration_evidence,generative
G24,T1,convergence,elaboration_evidence,generative,perspective_shift
G25,T1,divergence,generative,perspective_shift,elaboration_evidence
G25,T1,convergence,perspective_shift,elaboration_evidence,generative
G26,T1,divergence,elaboration_evidence,generative,perspective_shift
G26,T1,convergence,generative,perspective_shift,elaboration_evidence
