group_id,theme_id,phase,order_slot_1,order_slot_2,order_slot_3
G01,T1,divergence,perspective_shift,constraint_reframing,elaboration_evidence
G01,T1,convergence,constraint_reframing,elaboration_evidence,perspective_shift
G02,T1,divergence,constraint_reframing,elaboration_evidence,perspective_shift
G02,T1,convergence,elaboration_evidence,perspective_shift,constraint_reframing
G03,T1,divergence,elaboration_evidence,perspective_shift,constraint_reframing
G03,T1,convergence,perspective_shift,constraint_reframing,elaboration_evidence
G04,T1,divergence,perspective_shift,elaboration_evidence,constraint_reframing
G04,T1,convergence,elaboration_evidence,constraint_reframing,perspective_shift
G05,T1,divergence,constraint_reframing,perspective_shift,elaboration_evidence
G05,T1,convergence,perspective_shift,elaboration_evidence,constraint_reframing
G06,T1,divergence,elaboration_evidence,constraint_reframing,perspective_shift
G06,T1,convergence,constraint_reframing,perspective_shift,elaboration_evidence
G07,T1,divergence,perspective_shift,constraint_reframing,elaboration_evidence
G07,T1,convergence,elaboration_evidence,perspective_shift,constraint_reframing
G08,T1,divergence,constraint_reframing,elaboration_evidence,perspective_shift
G08,T1,convergence,perspective_shift,constraint_reframing,elaboration_evidence
G09,T1,divergence,elaboration_evidence,perspective_shift,constraint_reframing
G09,T1,convergence,constraint_reframing,elaboration_evidence,perspective_shift
G10,T1,divergence,perspective_shift,elaboration_evidence,constraint_reframing
G10,T1,convergence,constraint_reframing,perspective_shift,elaboration_evidence
G11,T2,divergence,perspective_shift,constraint_reframing,elaboration_evidence
G11,T2,convergence,constraint_reframing,elaboration_evidence,perspective_shift
G12,T2,divergence,constraint_reframing,elaboration_evidence,perspective_shift
G12,T2,convergence,elaboration_evidence,perspective_shift,constraint_reframing
G13,T2,divergence,elaboration_evidence,perspective_shift,constraint_reframing
G13,T2,convergence,perspective_shift,constraint_reframing,elaboration_evidence
G14,T2,divergence,perspective_shift,elaboration_evidence,constraint_reframing
G14,T2,convergence,elaboration_evidence,constraint_reframing,perspective_shift
G15,T2,divergence,constraint_reframing,perspective_shift,elaboration_evidence
G15,T2,convergence,perspective_shift,elaboration_evidence,constraint_reframing
G16,T2,divergence,elaboration_evidence,constraint_reframing,perspective_shift
G16,T2,convergence,constraint_reframing,perspective_shift,elaboration_evidence
G17,T2,divergence,perspective_shift,constraint_reframing,elaboration_evidence
G17,T2,convergence,elaboration_evidence,perspective_shift,constraint_reframing
G18,T2,divergence,constraint_reframing,elaboration_evidence,perspective_shift
G18,T2,convergence,perspective_shift,constraint_reframing,elaboration_evidence
G19,T2,divergence,elaboration_evidence,perspective_shift,constraint_reframing
G19,T2,convergence,constraint_reframing,elaboration_evidence,perspective_shift
G20,T2,divergence,perspective_shift,elaboration_evidence,constraint_reframing
G20,T2,convergence,constraint_reframing,perspective_shift,elaboration_evidence
